Number,Name,Gender,Birth,Breed,ZipCode,IssuedDate,ExpiredDate
257680,STEVIE,F,2014,Dachshund,10014,2/14/2018,3/12/2019
168511,NORMAN,M,2006,Beagle,10309,6/25/2017,4/27/2018
208314,LEXI,F,2012,"Poodle, Toy",11004,7/30/2015,8/24/2020
243028,KOBE,F,2013,Shiba Inu,10009,10/19/2017,5/21/2018
27807,MIA,F,2015,Coton de Tulear,10467,11/21/2015,11/21/2016
81670,SQUIGGY,M,2007,Pug,11222,9/15/2016,9/18/2017
170183,JAX,M,2007,Beagle Crossbreed,11385,7/2/2017,7/2/2018
205321,BARRY,M,2010,Boston Terrier,10011,12/22/2017,12/22/2018
203698,ASIA,F,2014,"Shar-Pei, Chinese",11379,12/12/2017,1/23/2019
44106,OLIVER,M,2011,Maltese,10027,3/20/2016,3/20/2017
128651,ROSE,F,2015,Goldendoodle,10013,9/22/2016,9/22/2017
3102,NAME NOT PROVIDED,F,2014,Maltese,10455,1/29/2015,1/29/2016
180968,DARWIN,M,2007,Unknown,11360,8/18/2017,9/16/2018
42583,MAYA,F,2008,Unknown,11215,3/12/2016,3/16/2017
192818,BENTLEY,M,2014,Maltese Crossbreed,10023,10/10/2017,10/27/2018
3679,KOKEE,M,2014,Yorkshire Terrier,11218,2/6/2015,2/6/2016
274212,GEMINI,F,2016,American Pit Bull Mix / Pit Bull Mix,11379,5/16/2018,5/16/2019
41730,HENNY,F,2012,Shih Tzu,11206,3/7/2016,5/20/2016
122389,MIA,F,2011,Unknown,11414,7/23/2016,9/20/2017
164704,CHARLY,M,2014,"Mastiff, Old English",11208,6/6/2017,9/8/2017
260029,EVIE,F,2016,Border Collie Crossbreed,11215,2/28/2018,1/21/2019
36845,COBA,M,2012,"Schnauzer, Miniature",10451,2/7/2016,3/17/2017
73957,ARVA,M,2011,Unknown,10458,8/8/2016,9/23/2017
6532,HENNSSEY,F,2013,Bulldog,11216,3/17/2015,3/17/2016
64052,,M,2016,Poodle Crossbreed,11365,6/23/2016,6/23/2017
129317,NAME,F,2016,Pomeranian,10009,9/30/2016,9/30/2017
295675,SPIKE,M,2010,Maltese,11422,9/27/2018,11/1/2019
259726,LILLY,F,2012,Jack Russell Terrier,11364,2/27/2018,3/28/2019
228767,BANDIT,M,2012,Havanese,10024,6/7/2017,6/7/2022
307668,MOBY,M,2014,Portuguese Water Dog,10011,12/19/2018,1/13/2020
80017,YUKI,F,2016,Shiba Inu,12533,9/7/2016,9/7/2017
54475,NELLIE,F,2011,Beagle,10024,5/11/2016,6/24/2017
31284,MILES,M,2010,Unknown,10463,12/31/2015,12/23/2016
281731,EMMA,F,2016,Akita,10025,7/2/2018,7/2/2019
95754,SAMANTHA,F,2008,Maltese,10312,12/4/2016,1/15/2018
170410,ALFALFA,M,2016,American Pit Bull Mix / Pit Bull Mix,11101,7/3/2017,7/3/2018
275076,LUCY,F,2016,West High White Terrier,11215,5/21/2018,6/28/2019
131603,ALFIE,M,2013,Staffordshire Bull Terrier,11223,10/24/2016,10/24/2018
37977,CUPID,M,2012,Unknown,10462,2/14/2016,3/5/2018
62066,CHARLIE,M,2009,Shih Tzu,10011,6/14/2016,8/9/2017
261029,APPLE,F,2008,Unknown,10013,3/5/2018,5/13/2019
183467,TRADE,M,2008,"Schnauzer, Miniature",10001,8/31/2017,10/19/2018
45420,STEWIE,M,2011,Maltese Crossbreed,10309,3/27/2016,3/27/2017
212279,LEXIE,F,2014,Unknown,11225,7/25/2016,7/25/2018
48066,SOPHIA,F,2014,Shih Tzu Crossbreed,11372,4/10/2016,4/10/2017
50352,BAILEY,F,2015,Goldendoodle,10308,4/20/2016,4/20/2017
293607,JACK,M,2006,Unknown,11357,9/13/2018,9/29/2019
154403,MAGGIE,F,2007,Jack Russell Terrier,10128,4/14/2017,4/2/2018
306200,PONYO,M,2012,Siberian Husky Crossbreed,11229,12/9/2018,12/9/2023
48385,BAMBOO,M,2007,Unknown,11216,4/11/2016,5/12/2017
126429,SPICEY,F,2007,Unknown,11203,9/1/2016,9/29/2017
199477,COCO,F,2013,Chihuahua,11370,11/16/2017,12/2/2018
151135,LOGAN,M,2013,Tibetan Terrier,11422,3/27/2017,3/2/2018
239102,WEE-BEY,M,2014,Havanese,10029,9/11/2017,9/11/2018
245819,NOEL,M,2016,Yorkshire Terrier,11375,11/17/2017,12/10/2018
172395,PRINCE,M,2012,Unknown,11102,7/13/2017,8/6/2018
71399,ASTRO,M,2012,Goldendoodle,11205,7/26/2016,9/21/2017
198592,BLUE,M,2017,American Pit Bull Mix / Pit Bull Mix,11215,11/12/2017,11/12/2018
151707,CUDDLES,F,2014,Chihuahua,11229,3/29/2017,5/1/2018
84926,GOLDIE,F,2007,Golden Retriever,11412,9/30/2016,6/29/2017
64416,IPPO,M,2006,Siberian Husky,10460,6/26/2016,10/19/2016
54479,HUNTER,M,2012,Wire Fox Terrier,10011,5/11/2016,1/28/2017
141883,MOJO,M,2013,Vizsla,11432,1/31/2017,3/25/2018
68311,TJ,M,2009,Jack Russell Terrier,10472,7/13/2016,8/10/2017
270676,TRUFFLE,M,2017,Labradoodle,11213,4/27/2018,4/27/2019
271668,JEZEBEL,F,2009,American Pit Bull Mix / Pit Bull Mix,10013,5/2/2018,6/9/2019
181400,SHELBY,F,2017,Basset Hound,11205,8/21/2017,8/21/2018
176700,NED,M,2017,"Bull Dog, French",10025,7/31/2017,7/31/2018
87920,JAGGER,M,2012,"Poodle, Toy",10014,10/17/2016,12/8/2020
281289,SUCHI,F,2010,Chihuahua,11691,6/28/2018,6/10/2019
37564,HEIDI,F,2015,German Shepherd Dog,10473,2/12/2016,2/12/2018
295625,JASMINE,F,2005,Unknown,10309,9/26/2018,11/16/2019
160928,RIKO,M,2012,German Shepherd Dog,11370,5/19/2017,4/28/2018
86440,FESTER,M,2014,Parson Russell Terrier,10009,10/8/2016,10/8/2017
130024,LUCY,F,2007,Dachshund,11213,10/7/2016,10/7/2017
292069,LUCY,F,2017,French Bulldog,10308,9/4/2018,9/4/2023
194287,WHIDBEY,F,2011,Labrador Retriever Crossbreed,10026,10/17/2017,11/21/2018
70295,MAXX,M,2006,Unknown,10469,7/21/2016,8/30/2017
267471,PRINCESS,F,2008,Unknown,11375,4/9/2018,6/2/2019
225254,PUMPKIN,F,2016,Dogue de Bordeaux,10456,5/3/2017,5/3/2018
280016,LAMADIEU,M,2017,Yorkshire Terrier,11236,6/20/2018,6/20/2019
232906,LOLA,F,2017,French Bulldog,11206,7/18/2017,7/18/2019
252558,BARBIE,F,2017,American Pit Bull Terrier/Pit Bull,11354,1/17/2018,1/17/2019
128995,MAX,M,2016,Shih Tzu Crossbreed,10314,9/27/2016,9/27/2017
106084,KYRA,F,2015,Siberian Husky,11377,1/13/2016,1/13/2017
268923,THEO,M,2017,Chesapeake Bay Retriever,11226,4/17/2018,4/17/2019
192726,ANGUS,M,2016,French Bulldog,11201,10/10/2017,11/25/2019
247141,TIZZY,F,2014,Basenji,11238,12/1/2017,12/13/2018
134745,PHOEBE,F,2015,"Poodle, Toy",11106,11/30/2016,11/30/2017
33249,PEBBLES,F,2008,Pomeranian,11416,1/14/2016,11/11/2016
134218,VEGA,F,2013,German Shepherd Crossbreed,11238,11/23/2016,7/28/2018
185683,LILLIE,F,2008,Golden Retriever,10307,9/9/2017,12/26/2017
60269,FRANKIE,F,2007,Pug,11217,6/7/2016,6/7/2021
166733,GIZMO,M,2013,Shih Tzu Crossbreed,11203,6/15/2017,4/20/2018
80917,CHUNKERTONS,M,2013,Boxer,10022,9/12/2016,9/12/2017
166876,COCO,M,2010,"Poodle, Standard",11357,6/15/2017,6/22/2018
123167,KIWI,F,2016,Yorkshire Terrier,11235,7/31/2016,7/31/2017
81058,SNICKERS,M,2010,Yorkshire Terrier,10308,9/13/2016,10/21/2017
217626,UNKNOWN,F,2016,French Bulldog,10027,2/3/2017,2/3/2018
296771,HENRY,M,2008,Cairn Terrier,10001,10/4/2018,10/15/2019
155094,BENSON,M,2017,Beagle,11224,4/18/2017,4/18/2018
24627,UNKNOWN,F,2012,Australian Shepherd,11225,10/11/2015,10/11/2016
191596,BABY,M,2007,Chihuahua,10462,10/3/2017,8/12/2018
113543,ONYX,M,2013,Shih Tzu,10472,4/18/2016,4/26/2018
80468,DUCK,F,2007,Unknown,10012,9/10/2016,9/29/2017
284353,CHARLIE,F,2016,French Bulldog,10026,7/18/2018,5/6/2019
74262,BREE,F,2014,American Pit Bull Terrier/Pit Bull,10019,8/9/2016,8/9/2017
68319,KELSO,F,2014,Unknown,11217,7/13/2016,7/13/2017
15809,MAXX,M,2012,Maltese,10065,6/26/2015,7/10/2017
266543,SAMMY,M,2017,Soft Coated Wheaten Terrier,11372,4/4/2018,4/4/2019
139884,COCO,F,2013,Chihuahua,10029,1/16/2017,2/28/2018
39103,MOCHI,M,2013,Shih Tzu,11358,2/21/2016,4/15/2017
35981,BLANCA,F,2007,"Schnauzer, Miniature",11206,2/2/2016,2/19/2017
83342,HIGHWAY,F,2009,German Shepherd Crossbreed,10003,9/21/2016,9/21/2018
165617,BENNY,M,2016,Golden Retriever,10303,6/11/2017,6/11/2018
254468,HENRY,M,2008,Puggle,10065,1/29/2018,1/29/2019
299330,PILLIE,F,2013,Cairn Terrier,11235,10/22/2018,10/5/2019
251609,BRINDLE,M,2011,Boxer Crossbreed,10312,1/10/2018,1/10/2019
280520,EFFIE,F,2012,Havanese,10037,6/23/2018,5/13/2019
245030,OSITO,M,2017,Chihuahua,11373,11/8/2017,11/8/2018
22357,EMILY,F,2015,Terrier mix,11231,9/10/2015,9/10/2018
8848,BRIAN,M,2013,"Bull Dog, French",11209,4/12/2015,4/2/2016
222504,KAYDEN,F,2014,American Pit Bull Terrier/Pit Bull,10456,4/3/2017,2/28/2018
241047,ELLIE,F,2012,Terrier mix,11375,9/27/2017,3/30/2018
277973,KORE,F,2012,Bloodhound,11101,6/7/2018,6/7/2019
168723,CHARLIE,M,2015,Maltese,10308,6/26/2017,5/26/2018
253734,MURPHY,M,2010,Havanese,10011,1/23/2018,2/28/2019
265123,LAYLA,F,2013,Shiba Inu,10019,3/27/2018,3/27/2019
144378,LADY,F,2016,Saint Bernard,10308,2/18/2017,2/18/2018
303495,TOBY,M,2010,Pug,10469,11/18/2018,12/14/2019
167772,COCO,F,2009,Beagle,10305,6/20/2017,4/13/2018
97254,DAISY,F,2011,Cairn Terrier,10314,12/12/2016,12/30/2018
307445,MARLEY,M,2014,American Pit Bull Mix / Pit Bull Mix,11229,12/18/2018,12/18/2019
46406,BAFFI,M,2013,"Schnauzer, Miniature",11104,4/1/2016,4/24/2017
135799,KORY,M,2005,Unknown,10469,12/11/2016,1/30/2018
199867,BAXTER,M,2010,Miniature Pinscher,10019,11/19/2017,10/14/2020
223157,BRACEWAR,M,2006,German Shepherd Crossbreed,11211,4/11/2017,4/11/2018
141806,MAYA,F,2008,Siberian Husky,11223,1/31/2017,2/22/2019
179135,TOBI,M,2008,"Poodle, Toy",10460,8/9/2017,8/18/2018
201014,MAX,M,2014,"Welsh Corgi, Pembroke",11385,11/27/2017,11/27/2018
233613,LEIA,F,2017,Siberian Husky,10128,7/25/2017,7/25/2019
69784,BAM,M,2011,Yorkshire Terrier,11372,7/19/2016,7/19/2018
42428,BELLA,F,2015,Akita,10473,3/11/2016,3/11/2017
3891,BRUTUS,M,2009,Pug,10022,2/10/2015,2/10/2016
33232,JACKSON,M,2006,Beagle,11238,1/14/2016,1/14/2017
276392,BODHI,M,2016,Unknown,10075,5/30/2018,5/10/2019
20880,DANTE,M,2006,Unknown,11363,8/23/2015,7/20/2016
37593,TEDDY,M,2010,Unknown,11360,2/12/2016,3/17/2017
198741,NIYA,F,2011,Bichon Frise,10021,11/13/2017,12/7/2018
240653,JAY,M,2011,Shih Tzu Crossbreed,11214,9/23/2017,9/23/2018
289810,ELLIE,F,2011,Australian Cattledog,11217,8/19/2018,8/26/2019
294108,TRUMAN,M,2015,Terrier mix,11205,9/16/2018,8/10/2020
201818,BOOMER,M,2006,Yorkshire Terrier Crossbreed,10032,12/1/2017,12/1/2018
135654,FOXY,F,2005,Yorkshire Terrier,11203,12/9/2016,12/30/2017
99796,LAKSA,F,2015,Greyhound,11238,12/30/2016,12/30/2017
61263,RIDDLE,F,2014,Treeing Walker Coonhound,10065,6/10/2016,12/10/2016
279090,CARLOS,M,2009,Labrador Retriever Crossbreed,11216,6/13/2018,8/22/2018
178805,TASHI-LUNA,F,2017,Miniature Schnauzer,11201,8/8/2017,8/8/2018
93068,APOLLO,M,2016,Chihuahua,10002,11/15/2016,11/15/2017
118649,OSO,M,2016,Yorkshire Terrier,10034,6/15/2016,6/15/2017
94913,COCO,F,2014,Beagle,11354,11/28/2016,12/23/2016
106753,BUDDY,M,2009,Havanese,10024,1/26/2016,2/16/2017
119182,JUNEBUG,F,2016,Boxer,11215,6/21/2016,6/21/2017
23743,BOB,M,2008,Miniature Pinscher,11238,9/29/2015,7/16/2016
50229,LOLA,F,2015,Morkie,11364,4/20/2016,4/20/2017
70092,LAIKA,F,2011,Siberian Husky,10016,7/20/2016,7/20/2017
71911,SCARLET,F,2011,American Pit Bull Mix / Pit Bull Mix,10305,7/29/2016,9/20/2017
35568,PHOEBE,F,2006,Labrador Retriever Crossbreed,10025,1/31/2016,3/1/2017
187066,BELLA,F,2005,Japanese Chin/Spaniel,10021,9/13/2017,10/30/2018
284892,LAYLA,F,2015,Terrier mix,10314,7/20/2018,8/3/2019
270876,HOBBES,M,2009,Dachshund Smooth Coat,10024,4/28/2018,6/8/2019
150987,NAME NOT PROVIDED,M,2017,Pomeranian,11357,3/27/2017,3/27/2018
53114,UNKNOWN,F,2015,Beagle Crossbreed,11211,5/4/2016,5/4/2017
65385,COOPER,M,2016,"Coonhound, Treeing Walker",11105,6/30/2016,6/30/2017
301715,ROXY,F,2010,Boxer,10009,11/6/2018,11/6/2019
246818,POODLE,M,2017,Poodle,10021,11/29/2017,11/29/2018
267101,LING,M,2016,"Poodle, Toy",10128,4/7/2018,6/18/2022
283603,SUMMER,F,2014,Unknown,11692,7/13/2018,7/27/2019
157282,MATILDA,F,2011,Havanese,11206,4/30/2017,4/30/2020
195926,ORSON,M,2015,Boxer Crossbreed,10014,10/25/2017,10/25/2018
108390,BUDDY,M,2009,Unknown,10075,2/18/2016,3/16/2017
223077,JACK,M,2015,Cocker Spaniel Crossbreed,11368,4/10/2017,4/10/2018
8261,OLIVER,M,2005,Pug,10036,4/6/2015,4/6/2016
138340,ROXY,F,2010,Boston Terrier,11223,1/5/2017,1/24/2022
130648,POPPY,M,2009,Scottish Terrier,10128,10/15/2016,10/15/2017
139440,LILY,F,2013,Havanese,10024,1/13/2017,12/28/2018
172246,BISCUIT,M,2007,Pug,11367,7/13/2017,8/30/2018
136699,ERMURATEVA,M,2016,Pomeranian,11230,12/19/2016,12/19/2017
160037,OLIVE,F,2017,Soft Coated Wheaten Terrier,10014,5/15/2017,5/15/2018
256739,ARI,M,2013,Labradoodle,11106,2/10/2018,2/15/2019
15710,VIOLET,F,2013,Chihuahua Crossbreed,11218,6/24/2015,6/24/2016
152005,CARAMEL,F,2013,Chihuahua,11229,3/31/2017,4/17/2018
263906,KATIE,F,2010,"Poodle, Standard",11201,3/19/2018,5/3/2019
203042,MUFFIN,F,2009,Bichon Frise,11233,12/7/2017,12/7/2018
98809,RALPHIE,M,2014,"Bull Dog, English",10021,12/23/2016,11/11/2017
237392,FUTURE,M,2017,Pug Crossbreed,10462,8/25/2017,8/25/2018
155916,SHARKY,M,2010,Unknown,10023,4/24/2017,6/16/2018
250163,BEASLEY,M,2017,Poodle Crossbreed,11104,12/30/2017,12/30/2018
83293,SKY,F,2009,Unknown,10460,9/21/2016,11/4/2017
163712,STITCH,M,2014,Pug,10452,6/1/2017,6/18/2018
16120,SHEIDO,F,2011,"Poodle, Standard",10465,6/30/2015,7/9/2016
44200,JACK,M,2006,Poodle Crossbreed,11201,3/20/2016,3/20/2017
260367,MICKEY,M,2011,"Poodle, Miniature",11230,3/2/2018,4/11/2019
78777,DIEGO,M,2016,Beagle Crossbreed,10462,9/1/2016,9/1/2018
192264,NOAH,M,2007,Unknown,10455,10/7/2017,10/22/2018
69734,PONGO,M,2009,Bichon Frise,11377,7/19/2016,9/1/2017
227703,DINOSO,M,2011,German Shepherd Dog,10307,5/29/2017,5/29/2022
89492,STELLA,F,2005,Unknown,10014,10/24/2016,11/29/2017
287910,SUKI,F,2014,Unknown,10021,8/6/2018,9/11/2019
288105,FINN,M,2008,German Shepherd Crossbreed,11375,8/6/2018,8/2/2019
22553,PIPPA,F,2014,Boston Terrier,11222,9/13/2015,8/30/2016
258078,UNKNOWN,F,2017,French Bulldog,10312,2/17/2018,2/17/2019
9771,LUNA,F,2005,Unknown,11230,4/22/2015,5/30/2016
206135,KIKI,M,2013,Yorkshire Terrier,10305,12/28/2017,12/28/2020
85696,SWEETPEA,F,2010,Shih Tzu,11426,10/4/2016,11/22/2017
228637,TOBY,M,2016,Maltipoo,10314,6/6/2017,6/6/2018
243726,BREA,F,2014,Terrier Crossbreed,10128,10/25/2017,10/25/2018
280903,LITTLE,M,2017,Labrador Retriever,10024,6/26/2018,6/26/2019
181965,LOLA,F,2017,Shih Tzu,10003,8/23/2017,8/23/2018
174675,ELKE,F,2010,German Shepherd Dog,10314,7/23/2017,9/12/2019
18256,DRATER,M,2009,French Bulldog,10025,7/27/2015,7/27/2016
10157,WAFFLE,M,2007,Shih Tzu,10021,4/24/2015,5/10/2016
249978,MIMI,F,2009,Jack Russell Terrier Crossbreed,10462,12/28/2017,12/28/2018
47790,CC,F,2011,Unknown,10032,4/8/2016,4/20/2017
217370,SNOWBALL,M,2012,Unknown,10459,1/30/2017,1/30/2018
23780,MUNECA,F,2013,Unknown,10034,9/29/2015,9/29/2016
243356,BOB,M,2017,Goldendoodle,10028,10/22/2017,10/22/2018
302633,AMBER,F,2017,Pomeranian Crossbreed,10459,11/13/2018,9/2/2019
13631,LUCAS,M,2010,Poodle,10032,6/2/2015,6/2/2016
298606,KARMIE,F,2007,Unknown,11231,10/17/2018,10/20/2020
145939,TINKERBELL,F,2005,Chihuahua,10460,2/27/2017,2/27/2018
109760,SIMBA,M,2013,Chihuahua,11373,3/5/2016,3/4/2017
198830,ELLA,F,2015,French Bulldog,10031,11/13/2017,12/5/2018
41914,REX,M,2015,American Staffordshire Terrier,10462,3/8/2016,3/8/2017
20257,SIR,M,2013,Dachshund,11377,8/15/2015,8/15/2016
117348,NAME NOT PROVIDED,M,2016,Labrador Retriever,11420,5/30/2016,5/30/2017
53111,BRUNO,M,2015,Chihuahua Crossbreed,11435,5/4/2016,5/4/2017
20881,SAMMIE,M,2005,Unknown,10314,8/23/2015,8/30/2016
96930,ROMEO,M,2016,Shih Tzu,10306,12/10/2016,12/10/2017
141423,LOLA,F,2016,Poodle Crossbreed,11103,1/28/2017,1/28/2018
90987,LAPO,M,2013,Chihuahua,10065,11/2/2016,12/9/2017
200315,KNICKS,M,2010,Jack Russell Terrier,11375,11/21/2017,1/11/2019
69750,NYMERIA,F,2014,American Pit Bull Mix / Pit Bull Mix,11201,7/19/2016,8/16/2017
75836,COOL,F,2014,Chihuahua,11361,8/15/2016,7/27/2018
1683,SIR,M,2013,Yorkshire Terrier,10465,1/6/2015,1/23/2016
171348,TORI,F,2009,Unknown,10314,7/8/2017,6/12/2018
126034,HUEY,M,2010,Shiba Inu,10002,8/27/2016,8/27/2018
199073,BUDDY,M,2006,"Poodle, Toy",11385,11/14/2017,12/29/2018
8246,PUFFIN,M,2011,Pomeranian,10107,4/6/2015,5/4/2016
222736,LUCKY,M,2010,"Poodle, Miniature",10029,4/6/2017,4/6/2018
130985,ROCKET,M,2014,Shiba Inu,10033,10/18/2016,11/28/2017
178850,ELVIS,M,2016,Papillon,11211,8/9/2017,8/9/2018
111991,SHARKITA,F,2011,Siberian Husky,11226,4/2/2016,4/2/2017
55860,LILLY,F,2014,Chihuahua,10029,5/15/2016,5/15/2017
106978,LALA,F,2014,Labrador Retriever,10040,1/29/2016,1/29/2017
194592,DEWIE,M,2010,Yorkshire Terrier,11214,10/19/2017,11/23/2018
293096,STELLA,F,2016,Chihuahua,10039,9/10/2018,10/2/2019
43411,FRANCESCO,M,2008,Portuguese Water Dog,10027,3/16/2016,3/17/2017
104193,RAZZLE,F,2013,Unknown,10016,10/14/2015,10/16/2017
27944,JESSI,F,2012,Australian Cattledog,11249,11/23/2015,11/23/2018
8672,AUDREY,F,2010,"Bull Dog, French",11235,4/10/2015,5/22/2017
117230,PARIS,F,2012,Pug,11231,5/28/2016,5/28/2017
294440,DIXON,M,2009,Chihuahua Crossbreed,10040,9/18/2018,9/18/2019
40085,FLORENCE,F,2015,Beagle Crossbreed,11249,2/26/2016,2/26/2017
306288,LUCY,F,2013,Unknown,10014,12/10/2018,12/10/2019
109039,NALA,F,2015,American Pit Bull Mix / Pit Bull Mix,10033,2/25/2016,2/25/2017
91178,CHUCKIE,M,2016,Shih Tzu,10307,11/3/2016,11/3/2017
37768,CHARLIE,M,2013,Labrador Retriever Crossbreed,11692,2/12/2016,2/13/2017
42050,BISHOP,M,2013,Yorkshire Terrier,11203,3/9/2016,3/9/2017
151444,CHORT,M,2016,Shih Tzu,11229,3/28/2017,3/28/2018
27818,RUFFLES,M,2011,Yorkshire Terrier,10452,11/21/2015,12/28/2016
176320,BRUNO,M,2011,Bull Terrier,10010,7/30/2017,7/30/2019
15359,SIMBA,M,2010,American Staffordshire Terrier,11420,6/21/2015,6/21/2016
124321,SHERLOCK,M,2009,Labrador Retriever Crossbreed,11213,8/10/2016,7/19/2021
48914,GINGER,F,2009,Beagle Crossbreed,11211,4/14/2016,4/29/2017
112685,JACK,M,2015,Shih Tzu,10069,4/9/2016,4/9/2017
230233,FOXY,F,2006,Pomeranian,11358,6/22/2017,4/1/2018
281964,ANNABELLE,F,2008,Labrador Retriever,11229,7/3/2018,7/26/2019
115410,OREO,M,2015,Yorkshire Terrier Crossbreed,11235,5/7/2016,5/7/2017
30211,OLIVER,M,2013,Shih Tzu,10128,12/18/2015,8/27/2020
120553,COCO,M,2006,Lhasa Apso,10011,7/6/2016,6/10/2017
306994,LOLA,F,2011,Chihuahua,10069,12/14/2018,12/13/2019
274054,ANGEL,F,2009,Chihuahua,10312,5/15/2018,8/25/2019
82738,BEBE,M,2008,Boxer,10314,9/19/2016,10/31/2017
129079,HATTIE,F,2013,Unknown,10033,9/28/2016,11/19/2017
8728,BISCUIT,F,2013,Shih Tzu,11420,4/10/2015,4/10/2016
45593,CIONA,F,2011,Havanese,10471,3/28/2016,5/5/2017
282111,ROEBLING,M,2008,Labrador Retriever,10012,7/4/2018,6/5/2019
61109,MOCHA,M,2011,Unknown,11372,6/10/2016,6/10/2017
232180,LADY,F,2016,Dachshund,11434,7/13/2017,7/13/2019
162830,MAX,M,2017,French Bulldog,11221,5/29/2017,5/29/2018
23014,HOPE,F,2014,American Pit Bull Mix / Pit Bull Mix,10009,9/19/2015,9/19/2016
46261,RUBY,F,2014,Labradoodle,10025,3/31/2016,5/29/2017
95524,CHARLIE,M,2011,American Eskimo dog,11101,12/2/2016,6/23/2017
249018,WALTER,M,2012,"Bull Dog, English",10014,12/19/2017,12/19/2019
157398,DOTTY,F,2016,Shiba Inu,10461,5/1/2017,5/27/2018
261524,PO,M,2016,"Dachshund, Wirehaired, Miniature",10017,3/7/2018,3/7/2019
175038,SANDY,F,2010,Jack Russell Terrier,11217,7/25/2017,9/13/2018
209963,QUIMBY,F,2010,Chihuahua,11221,3/1/2016,4/23/2021
47405,RUSTY,M,2009,Unknown,11421,4/6/2016,4/24/2017
202431,SONNY,M,2006,Golden Retriever,11101,12/5/2017,12/5/2018
66673,MAYA,F,2011,Labrador Retriever Crossbreed,11358,7/7/2016,8/4/2017
153844,HARLEY,F,2016,Labrador Retriever,11234,4/11/2017,4/11/2018
8555,SHEBA,F,2006,Border Collie,10001,4/9/2015,4/9/2016
35197,GRIFFIN,M,2011,Unknown,11375,1/28/2016,2/22/2017
119978,RUE,F,2013,Australian Shepherd,10012,6/29/2016,8/26/2017
274678,SCOUT,F,2005,American Staffordshire Terrier,10002,5/19/2018,4/20/2019
65553,CLEO,F,2005,American Pit Bull Terrier/Pit Bull,10469,6/30/2016,3/29/2017
298036,ADAM,M,2015,Unknown,11233,10/13/2018,10/13/2019
108106,HANK,M,2014,Rottweiler,10024,2/14/2016,4/8/2017
95940,SCARLET,F,2016,Goldendoodle,11222,12/5/2016,12/5/2017
279756,ICHIGO,F,2016,Shiba Inu,11217,6/18/2018,6/6/2019
29132,ZENA,F,2012,Lhasa Apso,11232,12/8/2015,12/19/2017
303642,BOBBY,M,2016,American Pit Bull Mix / Pit Bull Mix,10033,11/19/2018,11/25/2019
224400,MILEY,F,2010,Unknown,11229,4/24/2017,6/17/2020
11139,BLUE,F,2012,American Pit Bull Mix / Pit Bull Mix,11216,5/5/2015,4/29/2016
209173,MIMI,F,2013,Shih Tzu,11377,12/1/2015,12/1/2020
291589,SCOTT,M,2016,Chihuahua,10309,8/31/2018,8/31/2019
229802,RUGBY,M,2013,"Schnauzer, Miniature",10011,6/18/2017,6/9/2018
117845,T-BONE,M,2016,German Shepherd Crossbreed,11216,6/5/2016,6/5/2017
291131,KEPPY,F,2007,Yorkshire Terrier,11230,8/28/2018,9/21/2019
8241,JAXX,M,2014,Shih Tzu,10451,4/6/2015,4/6/2016
162135,WALKER,M,2009,Shetland Sheepdog,10301,5/24/2017,6/21/2018
266819,COCO,F,2016,American Pit Bull Mix / Pit Bull Mix,10469,4/6/2018,4/6/2019
47606,PUCHY,F,2015,Shih Tzu Crossbreed,10462,4/7/2016,4/7/2017
35755,COOPER,M,2012,Silky Terrier,10019,2/1/2016,3/7/2017
227,MADDIE,F,2007,Labrador Retriever Crossbreed,10471,10/1/2014,5/26/2016
10928,PIDAN,M,2015,Pug,11355,5/2/2015,5/2/2016
14561,MAX,M,2014,Yorkshire Terrier,10163,6/12/2015,5/31/2017
113863,PRINCESS,F,2008,Pomeranian,11694,4/20/2016,3/26/2017
274049,MOLLY,F,2010,"Bull Dog, French",11231,5/15/2018,5/28/2020
30051,HAPPY,F,2010,Yorkshire Terrier,10034,12/17/2015,12/30/2016
19467,FIONA,F,2009,Unknown,10014,8/7/2015,9/7/2016
208078,SADIE,F,2013,Terrier mix,10282,6/26/2015,6/26/2020
69476,UNKNOWN,F,2016,Shih Tzu,11213,7/18/2016,7/18/2017
71690,BUDDY,M,2006,Cocker Spaniel,10314,7/28/2016,8/30/2017
95215,BOWIE,M,2012,Border Collie,10303,11/30/2016,12/4/2017
144931,DINO,M,2007,Jack Russell Terrier,10065,2/22/2017,1/16/2018
18170,LOVE,F,2012,Yorkshire Terrier,11691,7/24/2015,6/17/2016
25485,MUFASA,M,2010,"Mastiff, Bull",10027,10/21/2015,9/17/2016
255773,BROOKLYN,M,2012,Unknown,11217,2/6/2018,8/30/2022
54168,BROWNIE,M,2009,Yorkshire Terrier Crossbreed,11206,5/9/2016,5/9/2017
143835,ROCKY,M,2007,Unknown,10306,2/14/2017,1/23/2018
85833,CALLISTA,F,2016,Boxer Crossbreed,11238,10/4/2016,10/4/2017
15759,TORI,M,2010,Chihuahua,10016,6/25/2015,6/25/2016
60240,SANDY,F,2005,Unknown,10308,6/6/2016,6/29/2017
142998,JUNIOR,M,2016,Shetland Sheepdog,10019,2/7/2017,2/7/2022
105959,EMMY,F,2014,Yorkshire Terrier,10025,1/11/2016,12/16/2018
85639,TEDDY,M,2005,Yorkshire Terrier,10019,10/4/2016,11/30/2017
197974,ABBY,M,2013,Maltese Crossbreed,10031,11/7/2017,11/17/2018
